,id,body,title,title
0,11227809,"<p>Here is a piece of C++ code that shows some very peculiar behavior. For some strange reason, sorting the data miraculously makes the code almost six times faster:</p>
<pre class=""lang-cpp prettyprint-override""><code>#include &lt;algorithm&gt;
#include &lt;ctime&gt;
#include &lt;iostream&gt;

int main()
{
    // Generate data
    const unsigned arraySize = 32768;
    int data[arraySize];

    for (unsigned c = 0; c &lt; arraySize; ++c)
        data[c] = std::rand() % 256;

    // !!! With this, the next loop runs faster.
    std::sort(data, data + arraySize);

    // Test
    clock_t start = clock();
    long long sum = 0;

    for (unsigned i = 0; i &lt; 100000; ++i)
    {
        // Primary loop
        for (unsigned c = 0; c &lt; arraySize; ++c)
        {
            if (data[c] &gt;= 128)
                sum += data[c];
        }
    }

    double elapsedTime = static_cast&lt;double&gt;(clock() - start) / CLOCKS_PER_SEC;

    std::cout &lt;&lt; elapsedTime &lt;&lt; std::endl;
    std::cout &lt;&lt; &quot;sum = &quot; &lt;&lt; sum &lt;&lt; std::endl;
}
</code></pre>
<ul>
<li>Without <code>std::sort(data, data + arraySize);</code>, the code runs in 11.54 seconds.</li>
<li>With the sorted data, the code runs in 1.93 seconds.</li>
</ul>
<hr />
<p>Initially, I thought this might be just a language or compiler anomaly, so I tried Java:</p>
<pre class=""lang-java prettyprint-override""><code>import java.util.Arrays;
import java.util.Random;

public class Main
{
    public static void main(String[] args)
    {
        // Generate data
        int arraySize = 32768;
        int data[] = new int[arraySize];

        Random rnd = new Random(0);
        for (int c = 0; c &lt; arraySize; ++c)
        data[c] = rnd.nextInt() % 256;

        // !!! With this, the next loop runs faster
        Arrays.sort(data);

        // Test
        long start = System.nanoTime();
        long sum = 0;

        for (int i = 0; i &lt; 100000; ++i)
        {
            // Primary loop
            for (int c = 0; c &lt; arraySize; ++c)
            {
                if (data[c] &gt;= 128)
                    sum += data[c];
            }
        }

        System.out.println((System.nanoTime() - start) / 1000000000.0);
        System.out.println(&quot;sum = &quot; + sum);
    }
}
</code></pre>
<p>With a similar but less extreme result.</p>
<hr />
<p>My first thought was that sorting brings the data into the <a href=""https://en.wikipedia.org/wiki/CPU_cache"" rel=""noreferrer"">cache</a>, but then I thought how silly that was because the array was just generated.</p>
<ul>
<li>What is going on?</li>
<li>Why is processing a sorted array faster than processing an unsorted array?</li>
</ul>
<p>The code is summing up some independent terms, so the order should not matter.</p>",Why is processing a sorted array faster than processing an unsorted array?,Why is processing a sorted array faster than processing an unsorted array?
1,6591213,"<p>I don't want to rename a remote branch, as described in <em><a href=""https://stackoverflow.com/questions/1526794/rename-master-branch-for-both-local-and-remote-git-repositories?answertab=votes#tab-top"">Rename master branch for both local and remote Git repositories</a></em>.</p>

<p>How can I rename a local branch which hasn't been pushed to a remote branch?</p>

<p>In case you need to rename <strong>remote</strong> branch as well:<br>
<em><a href=""https://stackoverflow.com/questions/30590083/how-to-rename-a-remote-git-branch-name/30590238#30590238"">How do I rename both a Git local and remote branch name</a></em></p>",How do I rename a local Git branch?,How do I rename a local Git branch?
2,8318911,"<p>How come certain random strings produce colors when entered as background colors in HTML? For example:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;body bgcolor=""chucknorris""&gt; test &lt;/body&gt;</code></pre>
</div>
</div>
</p>
<p>...produces a document with a <strong>red background</strong> across all browsers and platforms.</p>
<p>Interestingly, while <code>chucknorri</code> produces a red background as well, <code>chucknorr</code> produces a yellow background.</p>
<p>What’s going on here?</p>",Why does HTML think “chucknorris” is a color?,Why does HTML think “chucknorris” is a color?
3,6841333,"<p>If I run the following program, which parses two date strings referencing times 1 second apart and compares them:</p>
<pre><code>public static void main(String[] args) throws ParseException {
    SimpleDateFormat sf = new SimpleDateFormat(&quot;yyyy-MM-dd HH:mm:ss&quot;);  
    String str3 = &quot;1927-12-31 23:54:07&quot;;  
    String str4 = &quot;1927-12-31 23:54:08&quot;;  
    Date sDt3 = sf.parse(str3);  
    Date sDt4 = sf.parse(str4);  
    long ld3 = sDt3.getTime() /1000;  
    long ld4 = sDt4.getTime() /1000;
    System.out.println(ld4-ld3);
}
</code></pre>
<p><strong>The output is:</strong></p>
<pre><code>353
</code></pre>
<p>Why is <code>ld4-ld3</code>, not <code>1</code> (as I would expect from the one-second difference in the times), but <code>353</code>?</p>
<p>If I change the dates to times 1 second later:</p>
<pre><code>String str3 = &quot;1927-12-31 23:54:08&quot;;  
String str4 = &quot;1927-12-31 23:54:09&quot;;  
</code></pre>
<p>Then <code>ld4-ld3</code> will be <code>1</code>.</p>
<hr />
<p><strong>Java version:</strong></p>
<pre class=""lang-none prettyprint-override""><code>java version &quot;1.6.0_22&quot;
Java(TM) SE Runtime Environment (build 1.6.0_22-b04)
Dynamic Code Evolution Client VM (build 0.2-b02-internal, 19.0-b04-internal, mixed mode)
</code></pre>
<pre class=""lang-java prettyprint-override""><code>Timezone(`TimeZone.getDefault()`):

sun.util.calendar.ZoneInfo[id=&quot;Asia/Shanghai&quot;,
offset=28800000,dstSavings=0,
useDaylight=false,
transitions=19,
lastRule=null]

Locale(Locale.getDefault()): zh_CN
</code></pre>",Why Is Subtracting These Two Times (in 1927) Giving A Strange Result?,Why Is Subtracting These Two Times (in 1927) Giving A Strange Result?
4,14220321,"<p>I have a function <code>foo</code> which makes an asynchronous request. How can I return the response/result from <code>foo</code>?</p>
<p>I tried returning the value from the callback, as well as assigning the result to a local variable inside the function and returning that one, but none of those ways actually return the response (they all return <code>undefined</code> or whatever the initial value of the variable <code>result</code> is).</p>
<p><strong>Example using jQuery's <code>ajax</code> function:</strong></p>
<pre><code>function foo() {
    var result;

    $.ajax({
        url: '...',
        success: function(response) {
            result = response;
            // return response; // &lt;- I tried that one as well
        }
    });

    return result; // It always returns `undefined`
}
</code></pre>
<p><strong>Example using node.js:</strong></p>
<pre><code>function foo() {
    var result;

    fs.readFile(&quot;path/to/file&quot;, function(err, data) {
        result = data;
        // return data; // &lt;- I tried that one as well
    });

    return result; // It always returns `undefined`
}
</code></pre>
<p><strong>Example using the <code>then</code> block of a promise:</strong></p>
<pre><code>function foo() {
    var result;

    fetch(url).then(function(response) {
        result = response;
        // return response; // &lt;- I tried that one as well
    });

    return result; // It always returns `undefined`
}
</code></pre>",How do I return the response from an asynchronous call?,How do I return the response from an asynchronous call?
5,16956810,"<p>I'm trying to find a way to scan my entire Linux system for all files containing a specific string of text. Just to clarify, I'm looking for text within the file, not in the file name.</p>

<p>When I was looking up how to do this, I came across this solution twice:</p>

<pre><code>find / -type f -exec grep -H 'text-to-find-here' {} \;
</code></pre>

<p>However, it doesn't work. It seems to display every single file in the system.</p>

<p>Is this close to the proper way to do it? If not, how should I? This ability to find text strings in files would be extraordinarily useful for some programming projects I'm doing.</p>",How do I find all files containing specific text on Linux?,How do I find all files containing specific text on Linux?
6,9329446,"<p>How can I loop through all the entries in an array using JavaScript?</p>

<p>I thought it was something like this:</p>

<pre><code>forEach(instance in theArray)
</code></pre>

<p>Where <code>theArray</code> is my array, but this seems to be incorrect.</p>",For-each over an array in JavaScript,For-each over an array in JavaScript
7,14994391,"<p>Suppose I'm familiar with developing client-side applications in <a href=""http://jquery.com/"" rel=""noreferrer"">jQuery</a>, but now I'd like to start using <a href=""http://angularjs.org/"" rel=""noreferrer"">AngularJS</a>. Can you describe the paradigm shift that is necessary? Here are a few questions that might help you frame an answer:</p>

<ul>
<li>How do I architect and design client-side web applications differently? What is the biggest difference?</li>
<li>What should I stop doing/using; What should I start doing/using instead?</li>
<li>Are there any server-side considerations/restrictions?</li>
</ul>

<p>I'm not looking for a detailed comparison between <code>jQuery</code> and <code>AngularJS</code>.</p>","""Thinking in AngularJS"" if I have a jQuery background?","""Thinking in AngularJS"" if I have a jQuery background?"
8,11828270,"<p>I'm stuck and cannot escape. It says:</p>

<pre><code>""type :quit&lt;Enter&gt; to quit VIM""
</code></pre>

<p>But when I type that it simply appears in the object body.</p>",How do I exit the Vim editor?,How do I exit the Vim editor?
9,7244321,"<p>I recently forked a project and applied several fixes. I then created a pull request which was then accepted.</p>

<p>A few days later another change was made by another contributor. So my fork doesn't contain that change. </p>

<p>How can I get that change into my fork? Do I need to delete and re-create my fork when I have further changes to contribute? Or is there an update button?</p>",How do I update a GitHub forked repository?,How do I update a GitHub forked repository?
10,14415881,"<p>Yesterday I was pairing the socks from the clean laundry and figured out the way I was doing it is not very efficient. I was doing a naive search&nbsp;— picking one sock and ""iterating"" the pile in order to find its pair. This requires iterating over n/2 * n/4 = n<sup>2</sup>/8 socks on average.</p>

<p>As a computer scientist I was thinking what I could do? Sorting (according to size/color/...) of course came to mind to achieve an O(NlogN) solution.</p>

<p>Hashing or other not-in-place solutions are not an option, because I am not able to duplicate my socks (though it could be nice if I could).</p>

<p><strong>So, the question is basically:</strong></p>

<p>Given a pile of <code>n</code> pairs of socks, containing <code>2n</code> elements (assume each sock has exactly one matching pair), what is the best way to pair them up efficiently with up to logarithmic extra space? (I believe I can remember that amount of info if needed.)</p>

<p>I will appreciate an answer that addresses the following aspects:</p>

<ul>
<li>A general <em>theoretical</em> solution for a huge number of socks.</li>
<li>The actual number of socks is not that large, I don't believe my spouse and I have more than 30 pairs. (And it is fairly easy to distinguish between my socks and hers; can this be used as well?)</li>
<li>Is it equivalent to the <a href=""http://en.wikipedia.org/wiki/Element_distinctness_problem"" rel=""noreferrer"">element distinctness problem</a>?</li>
</ul>",How can I pair socks from a pile efficiently?,How can I pair socks from a pile efficiently?
11,16047306,"<p>I keep rereading <a href=""https://docs.docker.com/"" rel=""noreferrer"">the Docker documentation</a> to try to understand the difference between Docker and a full VM. How does it manage to provide a full filesystem, isolated networking environment, etc. without being as heavy?</p>

<p>Why is deploying software to a Docker image (if that's the right term) easier than simply deploying to a consistent production environment?</p>",How is Docker different from a virtual machine?,How is Docker different from a virtual machine?
12,22343224,"<p>After I upgraded to the latest stable <code>node</code> and <code>npm</code>, I tried <code>npm install moment --save</code>. It saves the entry in the <code>package.json</code> with the caret <code>^</code> prefix. Previously, it was a tilde <code>~</code> prefix.</p>
<ol>
<li>Why are these changes made in <code>npm</code>?</li>
<li>What is the difference between tilde <code>~</code> and caret <code>^</code>?</li>
<li>What are the advantages over others?</li>
</ol>",What's the difference between tilde(~) and caret(^) in package.json?,What's the difference between tilde(~) and caret(^) in package.json?
13,13375357,"<p>I was looking at the new APIs introduced in <a href=""http://en.wikipedia.org/wiki/Android_version_history#Android_4.1.2F4.2_Jelly_Bean"" rel=""noreferrer"">Android 4.2</a>.
While looking at the <a href=""http://developer.android.com/reference/android/os/UserManager.html"" rel=""noreferrer""><code>UserManager</code></a> class I came across the following method:</p>

<blockquote>
<pre><code>public boolean isUserAGoat()
</code></pre>
  
  <p>Used to determine whether the user making this call is subject to teleportations.</p>
  
  <p>Returns whether the user making this call is a goat.</p>
</blockquote>

<p>How and when should this be used?</p>",Proper use cases for Android UserManager.isUserAGoat()?,Proper use cases for Android UserManager.isUserAGoat()?
14,8710619,"<p>Until today, I thought that for example:</p>

<pre><code>i += j;
</code></pre>

<p>Was just a shortcut for:</p>

<pre><code>i = i + j;
</code></pre>

<p>But if we try this:</p>

<pre><code>int i = 5;
long j = 8;
</code></pre>

<p>Then <code>i = i + j;</code> will not compile but <code>i += j;</code> will compile fine.</p>

<p>Does it mean that in fact <code>i += j;</code> is a shortcut for something like this
<code>i = (type of i) (i + j)</code>?</p>","Why don't Java's +=, -=, *=, /= compound assignment operators require casting?","Why don't Java's +=, -=, *=, /= compound assignment operators require casting?"
15,8881291,"<p>In Swing, the password field has a <code>getPassword()</code> (returns <code>char[]</code>) method instead of the usual <code>getText()</code> (returns <code>String</code>) method. Similarly, I have come across a suggestion not to use <code>String</code> to handle passwords.</p>

<p>Why does <code>String</code> pose a threat to security when it comes to passwords?
It feels inconvenient to use <code>char[]</code>.</p>",Why is char[] preferred over String for passwords?,Why is char[] preferred over String for passwords?
16,6470651,"<p>I just had an interview, and I was asked to create a <em><strong>memory leak</strong></em> with Java.</p>
<p>Needless to say, I felt pretty dumb having no clue on how to even start creating one.</p>
<p>What would an example be?</p>",How can I create a memory leak in Java?,How can I create a memory leak in Java?
17,15666048,"<p>What are the differences between a <code>Service</code>, <code>Provider</code> and <code>Factory</code> in AngularJS?</p>",AngularJS: Service vs provider vs factory,AngularJS: Service vs provider vs factory
18,7172784,"<p>I use Ubuntu and installed <a href=""https://en.wikipedia.org/wiki/CURL"" rel=""noreferrer"">cURL</a> on it. I want to test my Spring REST application with cURL. I wrote my POST code at the Java side. However, I want to test it with cURL. I am trying to post a JSON data. Example data is like this:</p>

<pre><code>{""value"":""30"",""type"":""Tip 3"",""targetModule"":""Target 3"",""configurationGroup"":null,""name"":""Configuration Deneme 3"",""description"":null,""identity"":""Configuration Deneme 3"",""version"":0,""systemId"":3,""active"":true}
</code></pre>

<p>I use this command:</p>

<pre><code>curl -i \
    -H ""Accept: application/json"" \
    -H ""X-HTTP-Method-Override: PUT"" \
    -X POST -d ""value"":""30"",""type"":""Tip 3"",""targetModule"":""Target 3"",""configurationGroup"":null,""name"":""Configuration Deneme 3"",""description"":null,""identity"":""Configuration Deneme 3"",""version"":0,""systemId"":3,""active"":true \
    http://localhost:8080/xx/xxx/xxxx
</code></pre>

<p>It returns this error:</p>

<pre><code>HTTP/1.1 415 Unsupported Media Type
Server: Apache-Coyote/1.1
Content-Type: text/html;charset=utf-8
Content-Length: 1051
Date: Wed, 24 Aug 2011 08:50:17 GMT
</code></pre>

<p>The error description is this:</p>

<blockquote>
  <p><em>The server refused this request because the request entity is in a format not supported by the requested resource for the requested method ().</em></p>
</blockquote>

<p>Tomcat log:
    ""POST /ui/webapp/conf/clear HTTP/1.1"" 415 1051</p>

<p>What is the right format of the cURL command?</p>

<p>This is my Java side <code>PUT</code> code (I have tested GET and DELETE and they work):</p>

<pre><code>@RequestMapping(method = RequestMethod.PUT)
public Configuration updateConfiguration(HttpServletResponse response, @RequestBody Configuration configuration) { //consider @Valid tag
    configuration.setName(""PUT worked"");
    //todo If error occurs response.sendError(HttpServletResponse.SC_NOT_FOUND);
    return configuration;
}
</code></pre>",How do I POST JSON data with cURL?,How do I POST JSON data with cURL?
19,11832914,"<p>I'd like to round at most 2 decimal places, but <em>only if necessary</em>.</p>

<p>Input:</p>

<pre><code>10
1.7777777
9.1
</code></pre>

<p>Output:</p>

<pre><code>10
1.78
9.1
</code></pre>

<p>How can I do this in JavaScript? </p>",Round to at most 2 decimal places (only if necessary),Round to at most 2 decimal places (only if necessary)
20,6470428,"<p>I know that I can do:</p>

<pre><code>try:
    # do something that may fail
except:
    # do this if ANYTHING goes wrong
</code></pre>

<p>I can also do this:</p>

<pre><code>try:
    # do something that may fail
except IDontLikeYouException:
    # say please
except YouAreTooShortException:
    # stand on a ladder
</code></pre>

<p>But if I want to do the same thing inside two different exceptions, the best I can think of right now is to do this:</p>

<pre><code>try:
    # do something that may fail
except IDontLikeYouException:
    # say please
except YouAreBeingMeanException:
    # say please
</code></pre>

<p>Is there any way that I can do something like this (since the action to take in both exceptions is to <code>say please</code>):</p>

<pre><code>try:
    # do something that may fail
except IDontLikeYouException, YouAreBeingMeanException:
    # say please
</code></pre>

<p>Now this really won't work, as it matches the syntax for:</p>

<pre><code>try:
    # do something that may fail
except Exception, e:
    # say please
</code></pre>

<p>So, my effort to catch the two distinct exceptions doesn't exactly come through.</p>

<p>Is there a way to do this?</p>",Catch multiple exceptions in one line (except block),Catch multiple exceptions in one line (except block)
21,23569441,"<p><strong>What I am looking for:</strong></p>

<p>A way to style one <strong>HALF</strong> of a character. (In this case, half the letter being transparent)</p>

<p><strong>What I have currently searched for and tried (With no luck):</strong></p>

<ul>
<li>Methods for styling half of a character/letter</li>
<li>Styling part of a character with CSS or JavaScript</li>
<li>Apply CSS to 50% of a character</li>
</ul>

<p>Below is an example of what I am trying to obtain.</p>

<p><img src=""https://i.stack.imgur.com/SaH8v.png"" alt=""x""></p>

<p>Does a CSS or JavaScript solution exist for this, or am I going to have to resort to images? I would prefer not to go the image route as this text will end up being generated dynamically.</p>

<hr>

<p><strong>UPDATE:</strong></p>

<p>Since many have asked why I would ever want to style half of a character, this is why. My city had recently spent $250,000 to define a new ""brand"" for itself. This <strong><a href=""https://web.archive.org/web/20140428135239/http://halifaxdefined.ca/img/halifax_logo_new.png"" rel=""noreferrer"">logo</a></strong> is what they came up with. Many people have complained about the simplicity and lack of creativity and continue to do so. My goal was to come up with this <strong><a href=""http://gameovercancer.ca/tests/brandgenerator/"" rel=""noreferrer"">website</a></strong> as a joke. Type in 'Halifax' and you will see what I mean.</p>",Is it possible to apply CSS to half of a character?,Is it possible to apply CSS to half of a character?
22,11304895,"<p>How do I copy a folder from remote to local host using <code>scp</code>?</p>

<p>I use <code>ssh</code> to log in my server.<br>
Then, I would like to copy the remote folder <code>foo</code> to local <code>/home/user/Desktop</code>.</p>

<p>How do I achieve this?</p>",How do I copy a folder from remote to local using scp?,How do I copy a folder from remote to local using scp?
23,21947452,"<p>I generated two matrices of <code>1000</code> x <code>1000</code>:</p>

<p>First Matrix: <code>O</code> and <code>#</code>.<br>
Second Matrix: <code>O</code> and <code>B</code>.</p>

<p>Using the following code, the first matrix took 8.52 seconds to complete:</p>

<pre><code>Random r = new Random();
for (int i = 0; i &lt; 1000; i++) {
    for (int j = 0; j &lt; 1000; j++) {
        if(r.nextInt(4) == 0) {
            System.out.print(""O"");
        } else {
            System.out.print(""#"");
        }
    }

   System.out.println("""");
 }
</code></pre>

<p>With this code, the second matrix took 259.152 seconds to complete:</p>

<pre><code>Random r = new Random();
for (int i = 0; i &lt; 1000; i++) {
    for (int j = 0; j &lt; 1000; j++) {
        if(r.nextInt(4) == 0) {
            System.out.print(""O"");
        } else {
            System.out.print(""B""); //only line changed
        }
    }

    System.out.println("""");
}
</code></pre>

<p>What is the reason behind the dramatically different run times?</p>

<hr>

<p>As suggested in the comments, printing only <code>System.out.print(""#"");</code> takes <code>7.8871</code> seconds, whereas <code>System.out.print(""B"");</code> gives <code>still printing...</code>.</p>

<p>As others who pointed out that it works for them normally, I tried <a href=""http://ideone.com"" rel=""noreferrer"">Ideone.com</a> for instance, and both pieces of code execute at the same speed.</p>

<p>Test Conditions:</p>

<ul>
<li>I ran this test from <em>Netbeans 7.2</em>, with the output into its console</li>
<li>I used <code>System.nanoTime()</code> for measurements</li>
</ul>","Why is printing ""B"" dramatically slower than printing ""#""?","Why is printing ""B"" dramatically slower than printing ""#""?"
24,20035101,"<blockquote>
  <p><strong>Mod note</strong>: This question is about why Postman is not subject to CORS restrictions in the same way an XMLHttpRequest is. This question is <strong>not</strong> about how to fix a ""No 'Access-Control-Allow-Origin'..."" error.</p>
  
  <p><strong>Please stop posting</strong>:</p>
  
  <ul>
  <li>CORS configurations for every language/framework under the sun. Instead <a href=""https://stackoverflow.com/search?q=how+to+enable+CORS+is%3Aquestion&amp;mixed=1"">find your relevant language/framework's question</a>.</li>
  <li>3rd party services that allow a request to circumvent CORS</li>
  <li>Command line options for turning off CORS for various browsers</li>
  </ul>
</blockquote>

<hr>

<p>I am trying to do authorization using <a href=""http://en.wikipedia.org/wiki/JavaScript"" rel=""noreferrer"">JavaScript</a> by connecting to the <a href=""http://en.wikipedia.org/wiki/Representational_state_transfer#RESTful_web_services"" rel=""noreferrer"">RESTful</a> <a href=""http://en.wikipedia.org/wiki/Application_programming_interface"" rel=""noreferrer"">API</a> built-in <a href=""https://en.wikipedia.org/wiki/Flask_%28web_framework%29"" rel=""noreferrer"">Flask</a>. However, when I make the request, I get the following error:</p>

<blockquote>
  <p>XMLHttpRequest cannot load <a href=""http://myApiUrl/login"" rel=""noreferrer"">http://myApiUrl/login</a>. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'null' is therefore not allowed access.</p>
</blockquote>

<p>I know that the API or remote resource must set the header, but why did it work when I made the request via the Chrome extension <a href=""https://chrome.google.com/webstore/detail/postman/fhbjgbiflinjbdggehcddcbncdddomop"" rel=""noreferrer"">Postman</a>?</p>

<p>This is the request code:</p>

<pre><code>$.ajax({
    type: ""POST"",
    dataType: 'text',
    url: api,
    username: 'user',
    password: 'pass',
    crossDomain : true,
    xhrFields: {
        withCredentials: true
    }
})
    .done(function( data ) {
        console.log(""done"");
    })
    .fail( function(xhr, textStatus, errorThrown) {
        alert(xhr.responseText);
        alert(textStatus);
    });
</code></pre>","Why does my JavaScript code receive a ""No 'Access-Control-Allow-Origin' header is present on the requested resource"" error, while Postman does not?","Why does my JavaScript code receive a ""No 'Access-Control-Allow-Origin' header is present on the requested resource"" error, while Postman does not?"
25,8467424,"<p>In Bash, tried this:</p>

<pre><code>echo -e ""hello\nworld""
</code></pre>

<p>But it doesn't print a newline, only <code>\n</code>. How can I make it print the newline?</p>

<p>I'm using Ubuntu 11.04.</p>",Echo newline in Bash prints literal \n,Echo newline in Bash prints literal \n
26,9339429,"<p>Recently, I have been asked to <code>cherry-pick</code> a commit. </p>

<p><strong><em>So what does cherry-picking a commit in git mean? How do you do it?</em></strong> </p>",What does cherry-picking a commit with Git mean?,What does cherry-picking a commit with Git mean?
27,12859942,"<p>What are the technical reasons for why one shouldn't use <code>mysql_*</code> functions? (e.g. <code>mysql_query()</code>, <code>mysql_connect()</code> or <code>mysql_real_escape_string()</code>)?</p>

<p>Why should I use something else even if they work on my site?</p>

<p>If they don't work on my site, why do I get errors like </p>

<blockquote>
  <p>Warning: mysql_connect(): No such file or directory</p>
</blockquote>",Why shouldn't I use mysql_* functions in PHP?,Why shouldn't I use mysql_* functions in PHP?
28,16476924,"<p>I have a <code>DataFrame</code> from Pandas:</p>

<pre><code>import pandas as pd
inp = [{'c1':10, 'c2':100}, {'c1':11,'c2':110}, {'c1':12,'c2':120}]
df = pd.DataFrame(inp)
print df
</code></pre>

<p>Output:</p>

<pre><code>   c1   c2
0  10  100
1  11  110
2  12  120
</code></pre>

<p>Now I want to iterate over the rows of this frame. For every row I want to be able to access its elements (values in cells) by the name of the columns. For example:</p>

<pre><code>for row in df.rows:
   print row['c1'], row['c2']
</code></pre>

<p>Is it possible to do that in Pandas?</p>

<p>I found this <a href=""https://stackoverflow.com/questions/7837722/what-is-the-most-efficient-way-to-loop-through-dataframes-with-pandas"">similar question</a>. But it does not give me the answer I need. For example, it is suggested there to use:</p>

<pre><code>for date, row in df.T.iteritems():
</code></pre>

<p>or</p>

<pre><code>for row in df.iterrows():
</code></pre>

<p>But I do not understand what the <code>row</code> object is and how I can work with it.</p>",How to iterate over rows in a DataFrame in Pandas,How to iterate over rows in a DataFrame in Pandas
29,9537392,"<p>My colleague and I are working on the same repository. We've branched it into two branches, each technically for different projects, but they have similarities, so we'll sometimes want to commit back to the *<code>master</code> from the <code>branch</code>.</p>

<p>However, I have the <code>branch</code>. How can my colleague pull that branch specifically?</p>

<p>A <code>git clone</code> of the repository does not seem to create the branches locally for him, though I can see them live on unfuddle after a push on my end.</p>

<p>Also, when I originally made the branch, I did <code>-b checkout</code>. Does that make much difference?</p>

<pre><code>$ git branch -r
origin/HEAD -&gt; origin/master
origin/daves_branch
origin/discover
origin/master

$ git fetch origin discover
$ git checkout discover
</code></pre>

<p>These are the commands I ran. But it definitely is not working.</p>

<p><strong>I want to be able to check out that branch and then push and commit back just the branches changes from various collaborators or workstations</strong>.</p>",Git fetch remote branch,Git fetch remote branch
30,6677035,"<p>I have this <code>input</code> element:</p>

<pre><code>&lt;input type=""text"" class=""textfield"" value="""" id=""subject"" name=""subject""&gt;
</code></pre>

<p>Then I have some other elements, like other text inputs, textareas, etc.</p>

<p>When the user clicks on that <code>input</code> with <code>#subject</code>, the page should scroll to the last element of the page with a nice animation. It should be a scroll to bottom and not to top.</p>

<p>The last item of the page is a <code>submit</code> button with <code>#submit</code>:</p>

<pre><code>&lt;input type=""submit"" class=""submit"" id=""submit"" name=""submit"" value=""Ok, Done.""&gt;
</code></pre>

<p>The animation should not be too fast and should be fluid.</p>

<p>I am running the latest jQuery version. I prefer to not install any plugin but to use the default jQuery features to achieve this.</p>",jQuery scroll to element,jQuery scroll to element
31,9834689,"<p>I have two branches, <code>branch_1</code> and <code>branch_2</code>.</p>
<p>How can I see the differences between the two branches in Git?</p>",Comparing two branches in Git?,Comparing two branches in Git?
32,6996603,<p>How do I delete a file or folder in Python?</p>,How to delete a file or folder?,How to delete a file or folder?
33,10972176,"<p>How to find the version of an installed node.js/npm <strong>package</strong>?</p>

<p>This prints the version of npm itself:</p>

<pre><code>npm -v &lt;package-name&gt;
</code></pre>

<p>This prints a cryptic error:</p>

<pre><code>npm version &lt;package-name&gt;
</code></pre>

<p>This prints the package version <em>on the registry</em> (i.e. the latest version available):</p>

<pre><code>npm view &lt;package-name&gt; version
</code></pre>

<p>How do I get the <strong>installed version</strong>?</p>",Find the version of an installed npm package,Find the version of an installed npm package
34,8865458,"<p>I have a <code>&lt;div&gt;</code> element which contains text and I want to align the contents of this <code>&lt;div&gt;</code> vertically center.</p>
<p>Here is my <code>&lt;div&gt;</code> style:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#box {
  height: 170px;
  width: 270px;
  background: #000;
  font-size: 48px;
  color: #FFF;
  text-align: center;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""box""&gt;
  Lorem ipsum dolor sit
&lt;/div&gt;</code></pre>
</div>
</div>
</p>
<p>What is the best way to achieve this goal?</p>",How do I vertically center text with CSS?,How do I vertically center text with CSS?
35,24958140,"<p>What is the difference between the <code>COPY</code> and <code>ADD</code> commands in a Dockerfile, and when would I use one over the other?</p>

<pre><code>COPY &lt;src&gt; &lt;dest&gt;
</code></pre>

<blockquote>
  <p>The COPY instruction will copy new files from <code>&lt;src&gt;</code> and add them to the container's filesystem at path <code>&lt;dest&gt;</code></p>
</blockquote>

<pre><code>ADD &lt;src&gt; &lt;dest&gt;
</code></pre>

<blockquote>
  <p>The ADD instruction will copy new files from <code>&lt;src&gt;</code> and add them to the container's filesystem at path <code>&lt;dest&gt;</code>.</p>
</blockquote>",What is the difference between the 'COPY' and 'ADD' commands in a Dockerfile?,What is the difference between the 'COPY' and 'ADD' commands in a Dockerfile?
