,id,creation_date,text,score
0,54158279,2015-10-16 16:38:40.960000+00:00,"I am the reference, having been part of all of that. This post could be cited in Wikipedia as an original source.",1451
1,47852929,2015-04-25 10:16:18.347000+00:00,"`plt.figure(figsize=(20,10))`",916
2,56939360,2016-01-04 17:59:39.473000+00:00,"Maybe the good people at TC39 should name this concept something other than ""class"" if they don't want it to behave like the rest of the programming world expects from something named ""class"".",663
3,81662890,2017-11-17 16:31:52.460000+00:00,Most depresssing answer ever.,638
4,57394576,2016-01-16 11:26:12.903000+00:00,This is ridiculously difficult.,634
5,41757411,2014-10-26 02:20:29.223000+00:00,@Gatada I'm glad my employer does not make me verify web code for the Nintendo 3DS browser.,566
6,56116411,2015-12-09 17:23:27.283000+00:00,"FYI:  Mark Adler is an American software engineer, and has been heavily involved in space exploration. He is best known for his work in the field of data compression as the author of the Adler-32 checksum function, and a co-author of the zlib compression library and gzip. He has contributed to Info-ZIP, and has participated in developing the Portable Network Graphics (PNG) image format. Adler was also the Spirit Cruise Mission Manager for the Mars Exploration Rover mission. (wikipedia)",562
7,53304038,2015-09-23 04:52:21.127000+00:00,"How is this the accepted answer and has this many up votes? It does not answer the question at all! You need to set the `selectionStyle` property on the cell: `cell.selectionStyle = UITableViewCellSelectionStyle.None` in Swift, or `cell.selectionStyle = UITableViewCellSelectionStyleNone` in Objective-C.",532
8,80972549,2017-10-30 10:35:02.253000+00:00,"I fixed this by going to the bathroom. When I got back it was working. I'm pretty sure I tried everything in this thread, dunno exactly what did the job. I also prayed at some point.",528
9,44332548,2015-01-15 17:58:45.223000+00:00,"So, the `__init__` method is used when the *class* is called to initialize the instance, while the `__call__` method is called when the *instance* is called",499
10,52924231,2015-09-11 22:30:30.453000+00:00,"@ericmjl yes `df.rename(columns = {'$b':'B'}, inplace = True)`",491
11,54517257,2015-10-27 06:03:34.873000+00:00,So what is the solution?,478
12,61452760,2016-04-29 20:40:28.577000+00:00,"The solution in ES6 is to put the variable in square brackets in order to evaluate it.
`var key = ""happyCount"";
myArray.push({ [key]: someValueArray });`",451
13,75308701,2017-05-23 21:41:53.703000+00:00,"`yield` is not as magical this answer suggests. When you call a function that contains a `yield` statement anywhere, you get a generator object, but no code runs. Then each time you extract an object from the generator, Python executes code in the function until it comes to a `yield` statement, then pauses and delivers the object. When you extract another object, Python resumes just after the `yield` and continues until it reaches another `yield` (often the same one, but one iteration later). This continues until the function runs off the end, at which point the generator is deemed exhausted.",449
14,43781497,2014-12-29 04:47:55.450000+00:00,@G Rassovsky: All books which promise to teach X in Y hours. For example Learn C++ in 24 hours. I believe all such books are better avoided.,446
15,65656261,2016-08-25 23:48:34.873000+00:00,"I disagree. In OOD, private methods and properties are an intrinsic way to not repeat yourself (https://en.wikipedia.org/wiki/Don%27t_repeat_yourself). The idea behind black box programming and encapsulation is to hide technical details from the subscriber. So it is indeed necessary to have non-trivial private methods and properties in your code. And if it's non-trivial, it needs to be tested.",444
16,59172685,2016-03-02 14:19:30.923000+00:00,There's a bug in your code: Tomato is a fruit.,427
17,62077971,2016-05-17 12:33:24.890000+00:00,"401 'Unauthorized' should be 401 'Unauthenticated', problem solved !",426
18,58020665,2016-02-02 10:38:56.373000+00:00,This is terrible. Why don't they fix it? Ideally I should be able to search with a regex. Where do I go to protest this? :),409
19,45166739,2015-02-09 18:33:52.013000+00:00,"Posting here to hopefully catch people that don't quite think this through, but both ^ and ~ assumes you can trust minor and point releases from your dependencies.  If you are publishing a library and want other people to trust you, DO NOT BLINDLY ACCEPT DOWNSTREAM DEPENDENCIES. A bad dot release from your dependency can cause a chain reaction upstream, and will have people knocking at YOUR door when things go pear shaped.   This is another huge reason to use npm shrinkwrap on your production code.",401
20,49055443,2015-05-27 16:51:36.017000+00:00,"Don't forget to do a `git fetch --all --prune` on other machines after deleting the remote branch on the server. ||| After deleting the local branch with `git branch -d` and deleting the remote branch with `git push origin --delete` other machines may still have ""obsolete tracking branches"" (to see them do `git branch -a`). To get rid of these do `git fetch --all --prune`.",396
21,79144517,2017-09-07 08:25:43.623000+00:00,"the image is the recipe, the container is the cake ;-) you can make as many cakes as you like with a given recipe",387
22,83534856,2018-01-16 07:09:11.537000+00:00,"Judging by the odd spacing in the original question, I think this is EXACTLY the answer the interview question was looking for - exploiting non-space characters that look like spaces. Good spot!",373
23,59610306,2016-03-14 01:15:49.760000+00:00,"OR `fig, ax = plt.subplots(figsize=(20, 10))`",372
24,50509661,2015-07-06 22:00:31.757000+00:00,"Except that is not CSS, that is JavaScript.",368
25,51681515,2015-08-07 15:58:04.180000+00:00,cc is faster to type,365
26,48986751,2015-05-26 08:09:21.910000+00:00,"I just did some benchmarking. `li.insert(0, a)` is around 5x faster than `li = [a] + li`. Keep this in mind if you are doing this many times.",364
27,66279042,2016-09-13 22:35:26.790000+00:00,"Nice that this Apple service is free, ... oh wait, actually we pay 99$ per year ...",346
28,72802419,2017-03-17 00:21:08.407000+00:00,Or `justify-content: flex-end`,346
29,63997804,2016-07-10 08:21:06.467000+00:00,Does anyone else just come to this post every time they want to see what the npm registry url is? haha,345
30,57648172,2016-01-23 00:41:47.090000+00:00,"The same thing more concise, and perhaps faster as it doesn't use a list:

`df = pd.concat((pd.read_csv(f) for f in all_files))`

Also, one should perhaps use `os.path.join(path, ""*.csv"")` instead of `path + ""/*.csv""`, which makes it OS independent.",345
31,60083962,2016-03-25 19:14:11.223000+00:00,"Well, that's annoying. :(",342
32,46838958,2015-03-29 00:04:52.330000+00:00,@RoryO'Kane so everyone can play microsoft's audio format except microsoft? lol,338
33,91332745,2018-09-05 18:36:40.537000+00:00,If you installed Postgres from `homebrew` then you need to run `/usr/local/opt/postgres/bin/createuser -s postgres` in your terminal,337
34,58653699,2016-02-18 11:21:22.610000+00:00,This just doesn't work. The resulting images are just useless gray shapes.,333
35,65277293,2016-08-15 19:06:04.947000+00:00,I'm really confused by the diagram at the end. I thought I got it until I saw that image.,329
36,77269150,2017-07-17 17:14:55.977000+00:00,"Actually there's a ***big difference*** - `x + [4, 5]` gives you a new list assigned to x - `x.extend()` mutates the original list. I elaborate in my answer here below.",329
37,65067761,2016-08-09 13:16:52.123000+00:00,Why is is so hard for React to generate unique keys itself?,324
38,64490525,2016-07-24 07:20:39.387000+00:00,I have the same problem and that did not fix it.,322
39,55605142,2015-11-25 16:49:25.277000+00:00,"The example you've given provides the dimensions of the *window*, not of a given view; how is this relevant?",316
40,57854159,2016-01-28 15:31:44.810000+00:00,"Oddly enough ""Synchronously"" means ""using the same clock"" so when two instructions are synchronous they use the same clock and must happen one after the other.
""Asynchronous"" means ""not using the same clock"" so the instructions are not concerned with being in step with each other.
That's why it looks backwards, the term is not referring to the instructions relationship to each other. It's referring to each instructions relationship to the clock.
Hope that helps.",314
41,49917812,2015-06-19 15:04:19.527000+00:00,This is not a correct answer. The example in the answer is not loading a json file. It is actually just loading another javascript file which stores some hardcoded json as a variable named `data`.  If you removed the string quotes from around the json in `data.json`  you wouldn't even need to use `JSON.parse`.  The question is how to load a JSON file not how to hardcode JSON into another javascript file and then load it.,314
42,72700900,2017-03-14 17:53:45.557000+00:00,"Note, that things changed [for the better in ES6](http://stackoverflow.com/a/2274327/444255), i.e. `{[key]:someValueArray}`",313
43,71462831,2017-02-09 22:37:15.613000+00:00,"`git config --global alias.adog ""log --all --decorate --oneline --graph""`",307
44,45200326,2015-02-10 15:14:21.540000+00:00,Advice: stop using and supporting IE 8.,307
45,68740461,2016-11-23 06:49:13.303000+00:00,"When choosing the syntax, keep in mind that only scss allows copying and pasting css from stackoverflow and the browsers' development tools, whereas in sass you always have to adjust the syntax",303
46,68445524,2016-11-15 08:44:42.010000+00:00,One way they could have avoided overcomplication would have been to stick with a popular and well-established format ... like Markdown. ;-),302
47,57719599,2016-01-25 15:07:08.177000+00:00,"The order may seems strange for coders however `f(x) = |x| = x if x > 0 else -x` sounds very natural to mathematicians. You may also understand it as do A in most case, except when C then you should do B instead...",300
48,49689007,2015-06-13 17:17:57.990000+00:00,rand() + rand() can owerflow,295
49,86543267,2018-04-10 22:37:45.003000+00:00,That's too bad you had to bring in a library of classnames just to add two classes to an element :(,293
50,43351469,2014-12-13 08:57:29.717000+00:00,It was just too hard to add a str.length method. (raises his fist in anger),293
51,79431943,2017-09-15 07:45:19.603000+00:00,"What a mess! The worlds largest package manager yet it doesn't have documentation on how it should work. Everyone is guessing about what it should do and it turns into a war of opinions. Discussion is good but should happen prior to a release into the wild. At some point someone needs to make the final call and then in can get implemented, documented and released. PHP was designed by committee and ad-hoc'd together and look how it turned out. I'd hate to see the same thing happen to a tool this critical and widely used.",292
52,49295491,2015-06-03 08:15:58.413000+00:00,"Don't do weird things, you'll have no friends :(",289
53,52948402,2015-09-13 02:47:31.387000+00:00,"BE CAREFUL with this method as it first converts to the date to UTC. If you are in a + timezone and your time portion is early in the day, then it could roll-back a day. Alternatively, if you're in a - timezone and your time portion is late in the day, then it could roll forward a day.",286
54,98929143,2019-05-15 12:56:23.387000+00:00,"Nice explanation for other Lifecycle events, but this doesn't the question specifically about an alternative to componentWillMount().",284
55,73769688,2017-04-11 18:08:59.533000+00:00,wouldn't mind a non-jquery answer for those who don't use it,284
56,49693419,2015-06-13 21:45:22.507000+00:00,"This attribute is also required: `autocomplete=""I told you I wanted this off, Google. But you would not listen.""`",284
57,50816404,2015-07-15 05:40:31.890000+00:00,"@Texom512: I would also recommend never writing `not(True)`; prefer `not True`. The first makes it look like a function call, which is where your confusion came from; if `not` was a function, then `not(True) in ...` couldn't possibly be `not ((True) in ...)`. You have to know it's an operator (or you end up in situations like this), so you should write it like an operator, not disguise it as a function.",280
58,90730863,2018-08-17 07:02:56.750000+00:00,"Under the hood, Python will use `__contains__(self, item)`, `__iter__(self)`, and `__getitem__(self, key)` in that order to determine whether an item lies in a given contains. Implement at least one of those methods to make `in` available to your custom type.",280
59,53304796,2015-09-23 05:31:23+00:00,(And now it takes 10 seconds to find this question in Google),278
60,58884050,2016-02-24 10:35:24.383000+00:00,Vim says `E850: Invalid register name`:(,278
61,43923151,2015-01-03 15:10:45.027000+00:00,"If you, like me, make the mistake of doing (new Guid().toString()) you will get 0000-00000-00000-00000. You need to do Guid.NewGuid().toString()",277
62,52207517,2015-08-22 19:20:12.953000+00:00,"How can ""please check logs"" be the accepted answer to ""why are my logs empty""?",276
63,69879985,2016-12-27 03:25:56.760000+00:00,"I always see this error if when I create a new Github repository with a README.md, then pull it to a local repository at the first time. So annoying.",275
64,84377246,2018-02-08 15:55:59.077000+00:00,"The fact that the 4th highest-voted question about Linux is ""closed as off-topic"" is hilarious. Who but a programmer would care about chmod? How is this off-topic? Why are ""permissions"", ""folder"", and ""cmod"" even tags if they're off-topic?",274
65,72990983,2017-03-22 09:41:06.550000+00:00,Does not even answer the question yet the most upvoted answer?,273
66,56913201,2016-01-04 02:25:32.520000+00:00,"Some users may not want to change the backend for all of their scripts. This page -- http://matplotlib.org/faq/usage_faq.html#what-is-a-backend -- tells another way:  include the statement `import matplotlib as mpl` then `mpl.use('TkAgg')` right after that, then do the import for pyplot.",272
67,67963642,2016-11-01 06:16:48.503000+00:00,"I think your options are **1.** Your measuring technique is flawed, **2.** The compiler writes better assembly that you, or **3.** The compiler uses magic.",271
68,84126790,2018-02-01 14:46:56.047000+00:00,small hint: parseInt(null) returns NaN but +null returns 0,271
69,56931731,2016-01-04 14:26:10.187000+00:00,`The ENTRYPOINT specifies a command that will always be executed when the container starts. The CMD specifies arguments that will be fed to the ENTRYPOINT.` is a good to-the-point summary.,270
70,69252004,2016-12-07 16:24:19.353000+00:00,"Note: ""Because iterrows returns a Series for each row, it **does not** preserve dtypes across the rows."" Also, ""You **should never modify** something you are iterating over."" According to [pandas 0.19.1 docs](http://pandas.pydata.org/pandas-docs/stable/generated/pandas.DataFrame.iterrows.html)",269
71,50795977,2015-07-14 15:49:38.923000+00:00,"This will block a negative number from being entered using the arrow buttons / spinner. However, the user can still manually enter in a negative number and have that field's value read as a negative number, thus bypassing the min attribute.",268
72,62672922,2016-06-02 14:02:11.397000+00:00,None! The `OUTER` keyword is optional.,268
73,45057142,2015-02-06 01:02:01.727000+00:00,"A common approach for invalidating tokens when a user changes their password is to sign the token with a hash of their password. Thus if the password changes, any previous tokens automatically fail to verify. You can extend this to logout by including a last-logout-time in the user's record and using a combination of the last-logout-time and password hash to sign the token. This requires a DB lookup each time you need to verify the token signature, but presumably you're looking up the user anyway.",267
74,71183289,2017-02-02 13:35:42.067000+00:00,This is a fine if very un-pythonic solution. Consider using list comprehension.,261
75,42151178,2014-11-06 19:04:59.993000+00:00,"@megido well `-D` force deletes, `-d` gives you a warning if it's not already merged in.",260
76,48922737,2015-05-23 23:16:06.983000+00:00,Python 3 renamed `dict.iteritems -> dict.items`.,260
77,66386056,2016-09-16 16:13:12.523000+00:00,"-1 as I too strongly oppose 404 as a response to a *successful* call that has no records to return. As a developer dealing with an API for a non-web app, I have wasted hours of contacting the developers of the API to track down why the API endpoint I was calling didn't exist, when in fact it did, it just had no data to report. With regards to a 204 not being particularly useful to a browser, that is a bit like the tail wagging the dog as most uses of API endpoints in our universe of smart devices are not browser based and those that are likely use AJAX. Sorry to take points away though.",259
78,41568271,2014-10-20 11:59:54.117000+00:00,"This could be used as a workaround, but not an actual solution to the problem. What if we need to fetch lazily?",256
79,89946362,2018-07-24 00:13:02.883000+00:00,"**Don't stop here.** Most voted answers are below without the requirement of any plugins.
https://stackoverflow.com/a/15588798/2117868 and
https://stackoverflow.com/a/1676690/2117868",256
80,45149115,2015-02-09 10:25:06.327000+00:00,"It seems very worth noting in this answer that setting this option to `false` on a case-insensitive file system is a *bad idea*. This isn't necessarily obvious. For example, I just tried this on my Mac, thinking it would fix my problems, then renamed a file from `productPageCtrl.js` to `ProductPageCtrl.js`. `git status` saw a *new* file called `ProductPageCtrl.js` but *didn't* think that `productPageCtrl.js` had been deleted. When I added the new files, committed, and pushed to GitHub, the GitHub repo now contained *both* files even though my (supposedly up to date) local repo had only one.",255
81,51186892,2015-07-24 19:55:31.240000+00:00,"This doesn't accomplish the same thing as the question asks, you will have a 10px indent on the far left and right, which I'm assuming they don't intend to have. Hence, the negative margins in the original question.",253
82,45536338,2015-02-19 20:51:08.260000+00:00,â€¦ or `Comparator.comparingLong(File::lastModified).reversed()`,253
83,42299195,2014-11-11 16:59:53.757000+00:00,"The =""selected"" part is not necessary.  Just <option selected> will do as mentioned in other answers.",249
84,74727409,2017-05-08 10:57:10.123000+00:00,"BTW, this is a silly abbreviation means ""**g**et the **c**urrent **a**xes"".",248
85,79183855,2017-09-08 07:16:50.620000+00:00,"yes, it makes sense now, if your app depends on library x which itself depends on y,z. if you use `implementation` only x api will be exposed, but if you use `api` y,z also will be exposed.",248
86,55373970,2015-11-19 12:45:29.307000+00:00,As usual: beware THE MONTH is ZERO-INDEXED ! So January is zero not one...,246
87,72793818,2017-03-16 18:46:52.283000+00:00,"I gotta say, to have a month number zero indexed is the dumbest thing I've seen in a while. '",245
88,52129627,2015-08-20 12:46:00.023000+00:00,`header('Content-type:application/json;charset=utf-8');`,244
89,47071301,2015-04-05 00:29:38.087000+00:00,"For some reason, other languages use printf-like syntax: Java, Python (the new syntax is still closer to printf than to streams). Only C++ inflicts this verbose abomination on innocent human beings.",243
90,42185404,2014-11-07 16:57:31.690000+00:00,"`window.addEventListener('resize', function(){}, true);`",243
91,70181573,2017-01-05 14:59:30.967000+00:00,"After 9 failed attempts, Randall Munroe's StackSort sent me here, great example :P
https://gkoberger.github.io/stacksort/",242
92,60463407,2016-04-05 11:07:01.923000+00:00,"@rook You can listen to an advice without a deep explanation, sure. But when you request an explanation and don't get it, it's usually a red flag. ""Trust, but verify"" and all that.",242
93,58108915,2016-02-04 08:47:22.030000+00:00,"use ""app:backgroundTint"" not ""android:backgroundTint""",241
94,93478546,2018-11-14 11:15:24.490000+00:00,"Personal opinion: While this may be the reason code why it is written as it is, I think it's a bad justification. Code is read more often than it's written, and this unnecessary code just increases parsing overhead for the reader.",240
95,94548675,2018-12-19 11:52:43.947000+00:00,"If somebody cared (as I did), pwd stands for **p**rint **w**orking **d**irectory [Source](https://www.quora.com/What-does-PWD-terminal-command-stand-for)",237
96,67963603,2016-11-01 06:14:51.840000+00:00,Have you examined the assembly code that GCC generates for your C++ program?,237
97,46685749,2015-03-24 18:04:56.110000+00:00,This didn't work for me on Mavericks: `rm: /usr/local/var/postgres/postmaster.pid: No such file or directory`,236
98,52501175,2015-08-31 13:59:39.070000+00:00,"""Neither way is right or wrong, go with what you like best."".  Ah the famous line I hear so often and get sick and tired of hearing from people.  Conventions matter and SHOULD be debated constructively amongst the community, that's where better solutions come about and good practices.  When you are using both plural and singular for resource names in URIs, it complicates your code and the API because the user and the code behind the API has to account for that in routes and logic to differentiate single vs. plural whereas if you just stick with plural all the time you have no problems.",234
99,49408186,2015-06-05 18:13:17.823000+00:00,"For anyone else using this in automation, here's all of the common parameters for the subject: `-subj ""/C=US/ST=Oregon/L=Portland/O=Company Name/OU=Org/CN=www.example.com""`",234
100,77586407,2017-07-25 19:31:49.150000+00:00,"Not being able to see response data almost entirely kills the point of ""preserve log""!",233
101,49930777,2015-06-19 22:34:05.483000+00:00,It's so annoying that Google produces such shoddy code. We'll have to account for these framework bugs for years.,233
102,94419881,2018-12-14 17:17:34.177000+00:00,I wish the Xcode update was part of the OS update. Something like this happens every time I upgrade. Annoying.,233
103,50580016,2015-07-08 13:50:13.700000+00:00,Further to @Sean's comment: ES6 syntax makes this super concise: `var merged = [].concat(...arrays)`,232
104,45827494,2015-02-27 21:29:51.620000+00:00,"It's sad we have to do this instead of using our native exceptions.... oh Java, it gives and then takes away",232
105,91770576,2018-09-19 20:02:19.467000+00:00,"There is a place reserved in hell, for the moron who came up with this idea. I hate having to reopen it every time, it just slows your workflow down. They could have integrated the search feature into the sidebar too, so theres no need for a separate window.",231
106,41810055,2014-10-27 22:24:15.273000+00:00,or `componentDidUpdate` if the values can change after the first render.,230
107,61910611,2016-05-12 13:52:41.663000+00:00,How am I supposed to query the DB if I'm not able to even connect to it??,230
108,51704900,2015-08-08 14:33:55.003000+00:00,"""The error is pretty clear."" Today I learned there's a new meaning for the word ""clear"".",230
109,42817864,2014-11-27 02:48:52.770000+00:00,[[0 for x in range(cols_count)] for x in range(rows_count)],230
110,76131587,2017-06-15 15:26:36.207000+00:00,"Before you post a new answer, consider there are already 65+ answers for this question. Make sure that your answer contributes what is not among existing answers.",229
111,61214914,2016-04-24 09:58:53.567000+00:00,can't you just use: array[::-1] ?,227
112,78283840,2017-08-13 17:39:16.443000+00:00,"Just a note for Unity C# users, you must specify ""System.Random()"" as Unity has a ""UnityEngine.Random()"" which clashes (note that ""UnityEngine.Random()"" doesn't have the ability to generate random numbers). As unity doesn't always import System by default this can cause some confusion.",227
113,51968201,2015-08-16 09:22:42.223000+00:00,Please add to the disclaimer that it will not hold true for nested objects or nested dicts or dicts in lists etc.,225
114,44278184,2015-01-14 10:52:03.790000+00:00,"Don't use `file.readlines()` in a `for`-loop, a file object itself is enough: `lines = [line.rstrip('\n') for line in file]`",224
115,83346859,2018-01-10 08:57:57.047000+00:00,This answer is actively harmful and does not deserve the votes it get. It fails if the Uri is a `content://` or any other non-file Uri.,222
116,66764595,2016-09-27 20:06:40.587000+00:00,The great irony is that this is now the first hit on google. So ...,221
117,96371951,2019-02-20 23:51:43.910000+00:00,I sure hope you know what you are doing.,220
118,56414790,2015-12-17 14:16:20.003000+00:00,"This is so stupid and irritating. Why would they force an access token just to display images that are *already public*? I'm hardly trying to rinse them for every user in the world, I just want to display a client's latest insta without having to spend hours messing with it. Gah!",220
119,47136159,2015-04-07 09:43:11.967000+00:00,"THIS IS HORRIBLY BAD PRACTICE, and I'm sad it got all those votes. Warnings are not there so that you ignore them. Warnings are there telling you ""dude, you're doing something that could be wrong, be careful"", and you should only suppress them when you wanna respond like ""shut up, I know what I'm doing"", which is most likely not the case with infant programmers.",220
120,63036297,2016-06-13 08:19:39.313000+00:00,"In the constructor, you should always assign to `this.state` directly. Note that this is the only place where this is allowed. You should use `this.setState()` everywhere else.",218
121,96359906,2019-02-20 16:18:55.743000+00:00,It's a tricky nitpicking question and has no bearing on anyone's ability to program well.,217
122,98514251,2019-05-01 01:11:19.467000+00:00,"**Moderator Note:** Please think very carefully before casting a vote to close this as a ""typo"" question. Yes, the problem is a typo, but it's not a typo that the asker made. Rather, it is one found in a published book. That means this question and its answers may well be useful to others in the future, which is a strong counter-indicator for closing it as a typo. (UPDATE: This topic is now [being discussed on Meta](https://meta.stackoverflow.com/questions/384463); please feel free to weigh in there.)",217
123,91655916,2018-09-16 15:35:11.303000+00:00,"I came across this question googling an error message. The [answer below](https://stackoverflow.com/a/46795510/2745116), stating that `MatInputModule` needs to be imported solved my problem. Since this is the accepted answer, I'm adding the link here, hoping it will save other's time.",216
124,82489514,2017-12-12 01:31:01.850000+00:00,This doesn't actually answer the question. You can't simply convert your package.json into package.js for example. There are times when you want to truly import JSON not JS.,215
125,43818360,2014-12-30 09:49:22.010000+00:00,"(""0000"" + num).slice(-4) will work everywhere, AFAIK",214
126,68618078,2016-11-19 15:07:06.143000+00:00,`let unique_values = [...new Set(random_array)];` https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Set,214
127,45597487,2015-02-21 19:06:51.160000+00:00,"Definitely disagree with your opinion that debugging isn't the way to go. For development use a debugger (and/or logging), for production use logging. With a debugger you have a view of everything that went wrong when the problem occurred. You can see the full picture. Unless you are logging EVERYTHING you can't get that. Plus if you are logging everything you're going have to wade through tons of data to get at what you want.",213
128,91509486,2018-09-11 16:53:57.580000+00:00,"The mere fact that ""billions"" of people -- ok 83,136 as of this comment -- are having enough difficulty with imports to search out this question;  we can only conclude that python imports are counter-intuitive for many, if not most programmers.  Guido, perhaps you should accept this and ask for a committee to redesign the import mechanism.  At a minimum, this syntax ought to work if x.py and z.py are in the same directory.  Namely if x.py has the statement, ""from .z import MyZebraClass"" x should import z EVEN if it's being run as __main__!  Why is that so hard?",212
129,95501536,2019-01-24 09:08:02.793000+00:00,"What's the point of this Android security feature if every developer going to add `android:usesCleartextTraffic=""true""` ?",211
